"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"日光杉並木","街道 附 並木寄進碑（特別天然記念物との重複指定）栃木県地理院地図Googleマップ北緯36度43分44秒東経139度40分24秒﻿ / ﻿北緯36.7289度 東経139.6732度﻿ / 36.7289; 139.6732﻿ (日光杉並木街道 附 並木寄進碑（特別天然記念物との重複指定）) ","https://ja.wikipedia.org/wiki/日光杉並木","","","日本の特別史跡一覧","表形式",""
"金井沢碑","群馬県地理院地図Googleマップ北緯36度17分09秒東経139度00分57秒﻿ / ﻿北緯36.2857度 東経139.0159度﻿ / 36.2857; 139.0159﻿ (金井沢碑) ","https://ja.wikipedia.org/wiki/金井沢碑","","","日本の特別史跡一覧","表形式",""
"山上碑","および古墳群馬県地理院地図Googleマップ北緯36度16分38秒東経139度01分40秒﻿ / ﻿北緯36.2771度 東経139.0278度﻿ / 36.2771; 139.0278﻿ (山上碑および古墳) ","https://ja.wikipedia.org/wiki/山ノ上碑","","","日本の特別史跡一覧","表形式",""
"多胡碑","群馬県地理院地図Googleマップ北緯36度15分54秒東経138度59分47秒﻿ / ﻿北緯36.2650度 東経138.9964度﻿ / 36.2650; 138.9964﻿ (多胡碑) ","https://ja.wikipedia.org/wiki/多胡碑","","","日本の特別史跡一覧","表形式",""
"埼玉古墳群","埼玉県地理院地図Googleマップ北緯36度07分34秒東経139度28分41秒﻿ / ﻿北緯36.126097度 東経139.477999度﻿ / 36.126097; 139.477999﻿ (埼玉古墳群) ","https://ja.wikipedia.org/wiki/埼玉古墳群","","","日本の特別史跡一覧","表形式",""
"加曽利貝塚","千葉県地理院地図Googleマップ北緯35度37分24秒東経140度09分53秒﻿ / ﻿北緯35.623322度 東経140.164714度﻿ / 35.623322; 140.164714﻿ (加曽利貝塚) ","https://ja.wikipedia.org/wiki/加曽利貝塚","","","日本の特別史跡一覧","表形式",""
"浜離宮庭園","（特別名勝との重複指定）東京都地理院地図Googleマップ北緯35度39分36秒東経139度45分50秒﻿ / ﻿北緯35.6601度 東経139.7640度﻿ / 35.6601; 139.7640﻿ (旧浜離宮庭園（特別名勝との重複指定）) ","https://ja.wikipedia.org/wiki/浜離宮庭園","","","日本の特別史跡一覧","表形式",""
"江戸城","跡東京都地理院地図Googleマップ北緯35度41分12秒東経139度45分00秒﻿ / ﻿北緯35.6867度 東経139.7499度﻿ / 35.6867; 139.7499﻿ (江戸城跡) ","https://ja.wikipedia.org/wiki/江戸城","","","日本の特別史跡一覧","表形式",""
"小石川後楽園","（特別名勝との重複指定）東京都地理院地図Googleマップ北緯35度42分18秒東経139度44分59秒﻿ / ﻿北緯35.7051度 東経139.7498度﻿ / 35.7051; 139.7498﻿ (小石川後楽園（特別名勝との重複指定）) ","https://ja.wikipedia.org/wiki/小石川後楽園","","","日本の特別史跡一覧","表形式",""
"一乗谷朝倉氏遺跡","（「一乗谷朝倉氏庭園」として特別名勝に指定）福井県地理院地図Googleマップ北緯35度59分56秒東経136度17分48秒﻿ / ﻿北緯35.9988度 東経136.2966度﻿ / 35.9988; 136.2966﻿ (一乗谷朝倉氏遺跡（「一乗谷朝倉氏庭園」として特別名勝に指定）) ","https://ja.wikipedia.org/wiki/一乗谷朝倉氏遺跡","","","日本の特別史跡一覧","表形式",""
"尖石石器時代遺跡","長野県地理院地図Googleマップ北緯36度00分48秒東経138度13分57秒﻿ / ﻿北緯36.0133度 東経138.2326度﻿ / 36.0133; 138.2326﻿ (尖石石器時代遺跡) ","https://ja.wikipedia.org/wiki/尖石・与助尾根遺跡","","","日本の特別史跡一覧","表形式",""
"遠江国分寺","跡静岡県地理院地図Googleマップ北緯34度43分12秒東経137度51分05秒﻿ / ﻿北緯34.7199度 東経137.8513度﻿ / 34.7199; 137.8513﻿ (遠江国分寺跡) ","https://ja.wikipedia.org/wiki/遠江国#国分寺・国分尼寺","","","日本の特別史跡一覧","表形式",""
"新居関","跡静岡県地理院地図Googleマップ北緯34度41分41秒東経137度33分40秒﻿ / ﻿北緯34.6946度 東経137.5610度﻿ / 34.6946; 137.5610﻿ (新居関跡) ","https://ja.wikipedia.org/wiki/新居関所","","","日本の特別史跡一覧","表形式",""
"登呂遺跡","静岡県地理院地図Googleマップ北緯34度57分21秒東経138度24分29秒﻿ / ﻿北緯34.9559度 東経138.4081度﻿ / 34.9559; 138.4081﻿ (登呂遺跡) ","https://ja.wikipedia.org/wiki/登呂遺跡","","","日本の特別史跡一覧","表形式",""
"名古屋城","跡愛知県地理院地図Googleマップ北緯35度11分08秒東経136度53分59秒﻿ / ﻿北緯35.1856度 東経136.8998度﻿ / 35.1856; 136.8998﻿ (名古屋城跡) ","https://ja.wikipedia.org/wiki/名古屋城","","","日本の特別史跡一覧","表形式",""
"本居宣長旧宅","同 宅跡三重県地理院地図Googleマップ北緯34度34分31秒東経136度31分33秒﻿ / ﻿北緯34.5753度 東経136.5257度﻿ / 34.5753; 136.5257﻿ (本居宣長旧宅同 宅跡) ","https://ja.wikipedia.org/wiki/本居宣長旧宅","","","日本の特別史跡一覧","表形式",""
"安土城","跡滋賀県地理院地図Googleマップ北緯35度09分19秒東経136度08分22秒﻿ / ﻿北緯35.1554度 東経136.1394度﻿ / 35.1554; 136.1394﻿ (安土城跡) ","https://ja.wikipedia.org/wiki/安土城","","","日本の特別史跡一覧","表形式",""
"彦根城","跡滋賀県地理院地図Googleマップ北緯35度16分35秒東経136度15分08秒﻿ / ﻿北緯35.2765度 東経136.2523度﻿ / 35.2765; 136.2523﻿ (彦根城跡) ","https://ja.wikipedia.org/wiki/彦根城","","","日本の特別史跡一覧","表形式",""
"慈照寺","（銀閣寺）庭園（特別名勝との重複指定）京都府地理院地図Googleマップ北緯35度01分36秒東経135度47分54秒﻿ / ﻿北緯35.0266度 東経135.7982度﻿ / 35.0266; 135.7982﻿ (慈照寺（銀閣寺）庭園（特別名勝との重複指定）) ","https://ja.wikipedia.org/wiki/慈照寺","","","日本の特別史跡一覧","表形式",""
"鹿苑寺","（金閣寺）庭園（特別名勝との重複指定）京都府地理院地図Googleマップ北緯35度02分23秒東経135度43分45秒﻿ / ﻿北緯35.0396度 東経135.7292度﻿ / 35.0396; 135.7292﻿ (鹿苑寺（金閣寺）庭園（特別名勝との重複指定）) ","https://ja.wikipedia.org/wiki/鹿苑寺","","","日本の特別史跡一覧","表形式",""
"醍醐寺","三宝院庭園（特別名勝との重複指定）京都府地理院地図Googleマップ北緯34度57分07秒東経135度49分11秒﻿ / ﻿北緯34.9519度 東経135.8197度﻿ / 34.9519; 135.8197﻿ (醍醐寺三宝院庭園（特別名勝との重複指定）) ","https://ja.wikipedia.org/wiki/醍醐寺","","","日本の特別史跡一覧","表形式",""
"大坂城","跡大阪府地理院地図Googleマップ北緯34度41分11秒東経135度31分33秒﻿ / ﻿北緯34.6863度 東経135.5259度﻿ / 34.6863; 135.5259﻿ (大坂城跡) ","https://ja.wikipedia.org/wiki/大坂城","","","日本の特別史跡一覧","表形式",""
"百済寺跡","大阪府地理院地図Googleマップ北緯34度48分55秒東経135度39分40秒﻿ / ﻿北緯34.8154度 東経135.6610度﻿ / 34.8154; 135.6610﻿ (百済寺跡) ","https://ja.wikipedia.org/wiki/百済寺_(枚方市)","","","日本の特別史跡一覧","表形式",""
"姫路城","跡兵庫県地理院地図Googleマップ北緯34度50分18秒東経134度41分34秒﻿ / ﻿北緯34.8384度 東経134.6928度﻿ / 34.8384; 134.6928﻿ (姫路城跡) ","https://ja.wikipedia.org/wiki/姫路城","","","日本の特別史跡一覧","表形式",""
"キトラ古墳","奈良県地理院地図Googleマップ北緯34度27分04秒東経135度48分19秒﻿ / ﻿北緯34.4510度 東経135.8053度﻿ / 34.4510; 135.8053﻿ (キトラ古墳) ","https://ja.wikipedia.org/wiki/キトラ古墳","","","日本の特別史跡一覧","表形式",""
"高松塚古墳","奈良県地理院地図Googleマップ北緯34度27分45秒東経135度48分23秒﻿ / ﻿北緯34.4624度 東経135.8063度﻿ / 34.4624; 135.8063﻿ (高松塚古墳) ","https://ja.wikipedia.org/wiki/高松塚古墳","","","日本の特別史跡一覧","表形式",""
"山田寺跡","奈良県地理院地図Googleマップ北緯34度29分06秒東経135度49分46秒﻿ / ﻿北緯34.4849度 東経135.8295度﻿ / 34.4849; 135.8295﻿ (山田寺跡) ","https://ja.wikipedia.org/wiki/山田寺","","","日本の特別史跡一覧","表形式",""
"石舞台古墳","奈良県地理院地図Googleマップ北緯34度28分01秒東経135度49分34秒﻿ / ﻿北緯34.4669度 東経135.8261度﻿ / 34.4669; 135.8261﻿ (石舞台古墳) ","https://ja.wikipedia.org/wiki/石舞台古墳","","","日本の特別史跡一覧","表形式",""
"巣山古墳","奈良県地理院地図Googleマップ北緯34度33分23秒東経135度44分27秒﻿ / ﻿北緯34.5563度 東経135.7408度﻿ / 34.5563; 135.7408﻿ (巣山古墳) ","https://ja.wikipedia.org/wiki/巣山古墳","","","日本の特別史跡一覧","表形式",""
"藤原宮跡","奈良県地理院地図Googleマップ北緯34度30分08秒東経135度48分26秒﻿ / ﻿北緯34.5022度 東経135.8072度﻿ / 34.5022; 135.8072﻿ (藤原宮跡) ","https://ja.wikipedia.org/wiki/藤原京","","","日本の特別史跡一覧","表形式",""
"文殊院西古墳","奈良県地理院地図Googleマップ北緯34度30分13秒東経135度50分33秒﻿ / ﻿北緯34.5036度 東経135.8426度﻿ / 34.5036; 135.8426﻿ (文殊院西古墳) ","https://ja.wikipedia.org/wiki/安倍文殊院","","","日本の特別史跡一覧","表形式",""
"平城宮","跡奈良県地理院地図Googleマップ北緯34度41分34秒東経135度47分50秒﻿ / ﻿北緯34.6927度 東経135.7972度﻿ / 34.6927; 135.7972﻿ (平城宮跡) ","https://ja.wikipedia.org/wiki/平城宮","","","日本の特別史跡一覧","表形式",""
"平城京左京三条二坊宮跡庭園","（特別名勝との重複指定）奈良県地理院地図Googleマップ北緯34度41分01秒東経135度48分09秒﻿ / ﻿北緯34.6836度 東経135.8025度﻿ / 34.6836; 135.8025﻿ (平城京左京三条二坊宮跡庭園（特別名勝との重複指定）) ","https://ja.wikipedia.org/wiki/平城京左京三条二坊宮跡庭園","","","日本の特別史跡一覧","表形式",""
"本薬師寺跡","奈良県地理院地図Googleマップ北緯34度29分33秒東経135度48分01秒﻿ / ﻿北緯34.4925度 東経135.8003度﻿ / 34.4925; 135.8003﻿ (本薬師寺跡) ","https://ja.wikipedia.org/wiki/本薬師寺","","","日本の特別史跡一覧","表形式",""
"岩橋千塚古墳群","和歌山県地理院地図Googleマップ北緯34度13分25秒東経135度13分48秒﻿ / ﻿北緯34.2236度 東経135.2301度﻿ / 34.2236; 135.2301﻿ (岩橋千塚古墳群) ","https://ja.wikipedia.org/wiki/岩橋千塚古墳群","","","日本の特別史跡一覧","表形式",""
"斎尾廃寺跡","鳥取県地理院地図Googleマップ北緯35度28分53秒東経133度42分41秒﻿ / ﻿北緯35.4815度 東経133.7115度﻿ / 35.4815; 133.7115﻿ (斎尾廃寺跡) ","https://ja.wikipedia.org/wiki/斎尾廃寺跡","","","日本の特別史跡一覧","表形式",""
"閑谷学校","附 椿山石門津田永忠宅跡および黄葉亭岡山県地理院地図Googleマップ北緯34度47分48秒東経134度13分11秒﻿ / ﻿北緯34.7967度 東経134.2196度﻿ / 34.7967; 134.2196﻿ (旧閑谷学校附 椿山石門津田永忠宅跡および黄葉亭) ","https://ja.wikipedia.org/wiki/閑谷学校","","","日本の特別史跡一覧","表形式",""
"厳島","（特別名勝との重複指定）広島県地理院地図Googleマップ北緯34度16分50秒東経132度18分42秒﻿ / ﻿北緯34.2805度 東経132.3117度﻿ / 34.2805; 132.3117﻿ (厳島（特別名勝との重複指定）) ","https://ja.wikipedia.org/wiki/厳島","","","日本の特別史跡一覧","表形式",""
"廉塾","ならびに菅茶山旧宅広島県地理院地図Googleマップ北緯34度32分41秒東経133度23分04秒﻿ / ﻿北緯34.5446度 東経133.3845度﻿ / 34.5446; 133.3845﻿ (廉塾ならびに菅茶山旧宅) ","https://ja.wikipedia.org/wiki/廉塾","","","日本の特別史跡一覧","表形式",""
"讃岐国分寺","跡香川県地理院地図Googleマップ北緯34度18分12秒東経133度56分42秒﻿ / ﻿北緯34.3032度 東経133.9449度﻿ / 34.3032; 133.9449﻿ (讃岐国分寺跡) ","https://ja.wikipedia.org/wiki/讃岐国分寺","","","日本の特別史跡一覧","表形式",""
"王塚古墳","福岡県地理院地図Googleマップ北緯33度35分19秒東経130度39分41秒﻿ / ﻿北緯33.5885度 東経130.6614度﻿ / 33.5885; 130.6614﻿ (王塚古墳) ","https://ja.wikipedia.org/wiki/王塚古墳","","","日本の特別史跡一覧","表形式",""
"水城","跡福岡県地理院地図Googleマップ北緯33度31分05秒東経130度29分34秒﻿ / ﻿北緯33.5181度 東経130.4928度﻿ / 33.5181; 130.4928﻿ (水城跡) ","https://ja.wikipedia.org/wiki/水城","","","日本の特別史跡一覧","表形式",""
"大宰府","跡福岡県地理院地図Googleマップ北緯33度30分54秒東経130度30分56秒﻿ / ﻿北緯33.5150度 東経130.5156度﻿ / 33.5150; 130.5156﻿ (大宰府跡) ","https://ja.wikipedia.org/wiki/大宰府","","","日本の特別史跡一覧","表形式",""
"大野城","跡福岡県地理院地図Googleマップ北緯33度32分24秒東経130度31分18秒﻿ / ﻿北緯33.5400度 東経130.5216度﻿ / 33.5400; 130.5216﻿ (大野城跡) ","https://ja.wikipedia.org/wiki/大野城_(筑前国)","","","日本の特別史跡一覧","表形式",""
"基肄（椽）城跡","福岡県佐賀県地理院地図Googleマップ北緯33度26分42秒東経130度30分48秒﻿ / ﻿北緯33.4449度 東経130.5133度﻿ / 33.4449; 130.5133﻿ (基肄（椽）城跡) ","https://ja.wikipedia.org/wiki/基肄城","","","日本の特別史跡一覧","表形式",""
"吉野ヶ里遺跡","佐賀県地理院地図Googleマップ北緯33度19分32秒東経130度23分03秒﻿ / ﻿北緯33.3256度 東経130.3841度﻿ / 33.3256; 130.3841﻿ (吉野ヶ里遺跡) ","https://ja.wikipedia.org/wiki/吉野ヶ里遺跡","","","日本の特別史跡一覧","表形式",""
"名護屋城","跡並陣跡佐賀県地理院地図Googleマップ北緯33度31分49秒東経129度52分09秒﻿ / ﻿北緯33.5302度 東経129.8693度﻿ / 33.5302; 129.8693﻿ (名護屋城跡並陣跡) ","https://ja.wikipedia.org/wiki/名護屋城","","","日本の特別史跡一覧","表形式",""
"金田城","跡長崎県地理院地図Googleマップ北緯34度17分46秒東経129度16分20秒﻿ / ﻿北緯34.2960度 東経129.2723度﻿ / 34.2960; 129.2723﻿ (金田城跡) ","https://ja.wikipedia.org/wiki/金田城","","","日本の特別史跡一覧","表形式",""
"原の辻遺跡","長崎県地理院地図Googleマップ北緯33度45分33秒東経129度45分12秒﻿ / ﻿北緯33.7592度 東経129.7533度﻿ / 33.7592; 129.7533﻿ (原の辻遺跡) ","https://ja.wikipedia.org/wiki/原の辻遺跡","","","日本の特別史跡一覧","表形式",""
"熊本城","跡熊本県地理院地図Googleマップ北緯32度48分28秒東経130度42分15秒﻿ / ﻿北緯32.8078度 東経130.7043度﻿ / 32.8078; 130.7043﻿ (熊本城跡) ","https://ja.wikipedia.org/wiki/熊本城","","","日本の特別史跡一覧","表形式",""
"臼杵磨崖仏","附 日吉塔、嘉応二年在銘五輪塔 承安二年在銘五輪塔大分県地理院地図Googleマップ北緯33度06分46秒東経131度46分32秒﻿ / ﻿北緯33.1127度 東経131.7755度﻿ / 33.1127; 131.7755﻿ (臼杵磨崖仏附 日吉塔、嘉応二年在銘五輪塔 承安二年在銘五輪塔) ","https://ja.wikipedia.org/wiki/臼杵磨崖仏","","","日本の特別史跡一覧","表形式",""
"西都原古墳群","宮崎県地理院地図Googleマップ北緯32度07分03秒東経131度23分19秒﻿ / ﻿北緯32.1176度 東経131.3885度﻿ / 32.1176; 131.3885﻿ (西都原古墳群) ","https://ja.wikipedia.org/wiki/西都原古墳群","","","日本の特別史跡一覧","表形式",""
